,Name of movie,Year of relase,genre,Watchtime,Movie Rating,Metascore,Votes
0,The Shawshank Redemption,1994,Drama            ,142,9.3,81,"2,663,975"
1,The Godfather,1972,"Crime, Drama            ",175,9.2,100,"1,846,090"
2,Kantara,2022,"Action, Adventure, Drama            ",148,9.0,Nan,"68,495"
3,The Dark Knight,2008,"Action, Crime, Drama            ",152,9.0,84,"2,636,924"
4,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama            ",201,9.0,94,"1,836,644"
5,Schindler's List,1993,"Biography, Drama, History            ",195,9.0,94,"1,348,986"
6,The Godfather Part II,1974,"Crime, Drama            ",202,9.0,90,"1,264,479"
7,12 Angry Men,1957,"Crime, Drama            ",96,9.0,96,"786,715"
8,777 Charlie,2022,"Adventure, Comedy, Drama            ",164,8.9,Nan,"30,381"
9,Jai Bhim,2021,"Crime, Drama, Mystery            ",164,8.9,Nan,"201,237"
10,Pulp Fiction,1994,"Crime, Drama            ",154,8.9,94,"2,039,056"
11,Rocketry: The Nambi Effect,2022,"Biography, Drama            ",157,8.8,Nan,"49,541"
12,Inception,2010,"Action, Adventure, Sci-Fi            ",148,8.8,74,"2,336,684"
13,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama            ",179,8.8,87,"1,658,428"
14,Fight Club,1999,Drama            ,139,8.8,66,"2,109,376"
15,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama            ",178,8.8,92,"1,865,715"
16,Forrest Gump,1994,"Drama, Romance            ",142,8.8,82,"2,064,732"
17,"Il buono, il brutto, il cattivo",1966,"Adventure, Western            ",161,8.8,90,"759,260"
18,Soorarai Pottru,2020,Drama            ,153,8.7,Nan,"116,569"
19,The Matrix,1999,"Action, Sci-Fi            ",136,8.7,73,"1,903,430"
20,Goodfellas,1990,"Biography, Crime, Drama            ",145,8.7,90,"1,154,551"
21,The Empire Strikes Back,1980,"Action, Adventure, Fantasy            ",124,8.7,82,"1,286,483"
22,One Flew Over the Cuckoo's Nest,1975,Drama            ,133,8.7,84,"1,004,635"
23,Sita Ramam,2022,"Action, Drama, Mystery            ",163,8.6,Nan,"45,208"
24,Interstellar,2014,"Adventure, Drama, Sci-Fi            ",169,8.6,74,"1,810,550"
25,Cidade de Deus,2002,"Crime, Drama            ",130,8.6,79,"754,966"
26,Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family            ",125,8.6,96,"759,057"
27,Saving Private Ryan,1998,"Drama, War            ",169,8.6,91,"1,384,591"
28,The Green Mile,1999,"Crime, Drama, Fantasy            ",189,8.6,61,"1,294,502"
29,La vita è bella,1997,"Comedy, Drama, Romance            ",116,8.6,59,"692,644"
30,Se7en,1995,"Crime, Drama, Mystery            ",127,8.6,65,"1,642,044"
31,Terminator 2: Judgment Day,1991,"Action, Sci-Fi            ",137,8.6,75,"1,094,603"
32,The Silence of the Lambs,1991,"Crime, Drama, Thriller            ",118,8.6,85,"1,425,318"
33,Star Wars,1977,"Action, Adventure, Fantasy            ",121,8.6,90,"1,359,060"
34,Seppuku,1962,"Action, Drama, Mystery            ",133,8.6,85,"57,299"
35,Shichinin no samurai,1954,"Action, Drama            ",207,8.6,98,"345,718"
36,It's a Wonderful Life,1946,"Drama, Family, Fantasy            ",130,8.6,89,"454,499"
37,Kaithi,2019,"Action, Adventure, Crime            ",145,8.5,Nan,"32,378"
38,96,II 2018,"Drama, Romance            ",158,8.5,Nan,"31,516"
39,Gisaengchung,2019,"Drama, Thriller            ",132,8.5,96,"792,645"
40,Whiplash,2014,"Drama, Music            ",106,8.5,89,"852,644"
41,The Intouchables,2011,"Biography, Comedy, Drama            ",112,8.5,57,"854,310"
42,The Prestige,2006,"Drama, Mystery, Sci-Fi            ",130,8.5,66,"1,326,947"
43,The Departed,2006,"Crime, Drama, Thriller            ",151,8.5,85,"1,319,123"
44,The Pianist,2002,"Biography, Drama, Music            ",150,8.5,85,"828,362"
45,Gladiator,2000,"Action, Adventure, Drama            ",155,8.5,67,"1,492,888"
46,American History X,1998,"Crime, Drama            ",119,8.5,62,"1,118,954"
47,The Usual Suspects,1995,"Crime, Drama, Mystery            ",106,8.5,77,"1,081,868"
48,Léon,1994,"Action, Crime, Drama            ",110,8.5,64,"1,155,942"
49,The Lion King,1994,"Animation, Adventure, Drama            ",88,8.5,88,"1,053,339"
50,Nuovo Cinema Paradiso,1988,"Drama, Romance            ",155,8.5,80,"261,071"
51,Hotaru no haka,1988,"Animation, Drama, War            ",89,8.5,94,"276,833"
52,Back to the Future,1985,"Adventure, Comedy, Sci-Fi            ",116,8.5,87,"1,198,301"
53,Apocalypse Now,1979,"Drama, Mystery, War            ",147,8.5,94,"665,917"
54,Alien,1979,"Horror, Sci-Fi            ",117,8.5,89,"879,393"
55,Once Upon a Time in the West,1968,Western            ,165,8.5,80,"329,275"
56,Psycho,1960,"Horror, Mystery, Thriller            ",109,8.5,97,"670,417"
57,Rear Window,1954,"Mystery, Thriller            ",112,8.5,100,"491,168"
58,Casablanca,1942,"Drama, Romance, War            ",102,8.5,100,"570,679"
59,Modern Times,1936,"Comedy, Drama, Romance            ",87,8.5,96,"242,646"
60,City Lights,1931,"Comedy, Drama, Romance            ",87,8.5,99,"185,059"
61,Asuran,2019,"Action, Drama            ",141,8.4,Nan,"29,679"
62,Vikram,2022,"Action, Crime, Thriller            ",175,8.4,Nan,"57,022"
63,Hamilton,2020,"Biography, Drama, History            ",160,8.4,90,"94,297"
64,Capharnaüm,2018,Drama            ,126,8.4,75,"89,778"
65,Joker,I 2019,"Crime, Drama, Thriller            ",122,8.4,59,"1,268,111"
66,Kimi no Na wa.,2016,"Animation, Drama, Fantasy            ",106,8.4,79,"267,158"
67,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure            ",117,8.4,87,"523,826"
68,Avengers: Endgame,2019,"Action, Adventure, Drama            ",181,8.4,78,"1,119,331"
69,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi            ",149,8.4,68,"1,071,634"
70,Coco,I 2017,"Animation, Adventure, Comedy            ",105,8.4,81,"504,253"
71,Django Unchained,2012,"Drama, Western            ",165,8.4,81,"1,543,565"
72,Top Gun: Maverick,2022,"Action, Drama            ",130,8.4,78,"432,046"
73,The Dark Knight Rises,2012,"Action, Drama            ",164,8.4,78,"1,697,162"
74,Drishyam 2,2021,"Crime, Drama, Thriller            ",152,8.4,Nan,"37,215"
75,3 Idiots,2009,"Comedy, Drama            ",170,8.4,67,"399,877"
76,K.G.F: Chapter 2,2022,"Action, Crime, Drama            ",168,8.4,Nan,"131,464"
77,Shershaah,2021,"Action, Biography, Drama            ",135,8.4,Nan,"121,439"
78,Sardar Udham,2021,"Biography, Crime, Drama            ",164,8.4,Nan,"42,465"
79,WALL·E,2008,"Animation, Adventure, Family            ",98,8.4,95,"1,111,546"
80,The Lives of Others,2006,"Drama, Mystery, Thriller            ",137,8.4,89,"389,681"
81,Oldeuboi,2003,"Action, Drama, Mystery            ",120,8.4,77,"577,916"
82,Memento,2000,"Mystery, Thriller            ",113,8.4,80,"1,233,716"
83,American Beauty,1999,Drama            ,122,8.4,84,"1,152,172"
84,Mononoke-hime,1997,"Animation, Action, Adventure            ",134,8.4,76,"394,009"
85,Braveheart,1995,"Biography, Drama, History            ",178,8.4,68,"1,035,496"
86,Idi i smotri,1985,"Drama, Thriller, War            ",142,8.4,Nan,"80,145"
87,Aliens,1986,"Action, Adventure, Sci-Fi            ",137,8.4,84,"716,129"
88,Amadeus,1984,"Biography, Drama, Music            ",160,8.4,88,"401,111"
89,Raiders of the Lost Ark,1981,"Action, Adventure            ",115,8.4,85,"962,717"
90,Das Boot,1981,"Drama, War            ",149,8.4,86,"251,453"
91,The Shining,1980,"Drama, Horror            ",146,8.4,66,"1,017,965"
92,Tengoku to jigoku,1963,"Crime, Drama, Mystery            ",143,8.4,90,"45,328"
93,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Comedy, War            ",95,8.4,97,"490,802"
94,Witness for the Prosecution,1957,"Crime, Drama, Mystery            ",116,8.4,76,"125,898"
95,Paths of Glory,1957,"Drama, War            ",88,8.4,90,"197,793"
96,Sunset Blvd.,1950,"Drama, Film-Noir            ",110,8.4,Nan,"222,308"
97,The Great Dictator,1940,"Comedy, Drama, War            ",125,8.4,Nan,"224,279"
98,Chhichhore,2019,"Comedy, Drama, Romance            ",143,8.3,Nan,"54,754"
99,Ratsasan,2018,"Crime, Drama, Mystery            ",170,8.3,Nan,"44,833"
